Pointer,Original,Translated
212480,"ごめんなさい
まだ じゅんびちゅうなの

メダロットの パーツのことなら
コンビニを よろしくね","I'm sorry, we're still setting up.

Thank you for trusting our stores for your Medarot part needs."
212482,"フフフ おもいしったかロボ","Fufufu...have you finally realized, Robo?"
212484,"じんじゃのむこうに
ロボロボだんの きちが あるんだよ","The RoboRobo Gang have a base at the back of the Shrine."
212486,"ロボロボだんの きちが
なくなってたんだ","The RoboRobo base is gone."
212488,"ボナパルトのやつ
どこまでいったんだ？

しょうがない さがしにいくか","Where did Bonaparte run off to?

Guess I'd better look for him..."
212490,"かいだんは
とちゅうで なくなっている","The stairs end halfway."
212492,"いてっ!!

なにも こわれなかった","Oww!!
Nothing seems to be broken..."
212494,"うわっ!？
すべった!","Uwaaah!
I slipped!"
212496,"そのまえに とっくんしていく？","Before you do that, wanna do some special training?"
212498,"いいじゃない
そのちょうしよ!","Not bad! You're doing pretty good."
212500,"うーん
もうちょっとかな？","Hmm...
Maybe a little longer?"
212502,"カカカ・・・","Kakaka..."
212504,"ケケケケッ・・・","Kekekekee..."
212506,"ホーッホッホッホ!!

こ こわい・・・","Hooohohoho!!
I'm scared..."
212508,"シノビックパークヘ ようこそ
ふリかえらずに おすすみください","Welcome to the Shinobic Park.
Come on in!"
212510,"たちいリきんしの ふだが
かけられている","The sign reads "No Trespassing"."
212512,"メダロットの あたまパーツが
たくさん おいてある","There are a lot of head parts for Medarots."
212514,"あれっ？
いまのひと きえちゃった","Huuh?
That person just now, he disappeared..."
212516,"おまえニハ まけたヨ
また どこかで あおう","I have lost.
May we meet again, someplace."
212518,"な なんだったんだ？

いまの ゆめは・・・","What was that?
That dream just now..."
212520,"",""
212522,"",""
212524,"",""
212526,"",""
212528,"",""
212530,"",""
212532,"",""
212534,"",""
212536,"",""
212538,"",""
212540,"",""
212542,"",""
