Pointer,Original,Translated
425984,"セレクトしぶヘ
ようこそ","Welcome to the Select office."
425986,"ふつうの メダルもいいけど
ロボロボだんに とられないために

セレクトたいの こうにんメダル
「セレクトメダル」が おすすめさ

それに こうせいのうで
とっても そだてやすいんだ

これぞ スーパーテクノロジーの
けっしょうだね","We accept normal medals too but the Select Force usually recommends a special kind of a medal called the "Select Medal"
as a way to prevent theft from the RoboRobo Gang. Its high efficiency also makes it easy to raise. Now that is superb
technology!"
425988,"ふつうの メダルもいいけど
ロボロボだんに とられないために

セレクトたいの こうにんメダル
「セレクトメダル」が おすすめさ

それに こうせいのうで
とっても そだてやすいんだ

これぞ スーパーテクノロジーの
けっしょうだね","=0x68002"
425990,"なぜ セレクトメダルをつけた
メダロットたちが・・・？

もう なにを しんじたらいいのか
わからない","Why is it only the Medarots with Select Medals...?

I don't know who to trust anymore."
425992,"これからは あたらしい
セレクトたいとして がんばるよ","From here on out, I'll try my best to build a new Select Force."
425994,"きみも じゅんびに いそがしそうだね","You're probably busy preparing too."
425996,"さいきんは しずかに なったのぉ","It's gotten very quiet recently."
425998,"なんの ようじゃ

こどもは うるさいから きらいじゃ","What do you want? I'm in a bad mood today from all these noisy children!"
426000,"",""
426002,"なんのようじゃ はやく すませてくれ","What do you want? Just say it already!"
426004,"んっ あリがとうな

・・・また こいよ","Hmm thank you very much. ...Come again sometime."
426006,"",""
426008,"ところで <&NAME>
つうしんぼは どうだったの？

あっ わすれてた
こんどみせるよ","By the way <&NAME>, how was your last report card?

Uh, I forgot. 
I'll show it to you next time."
426010,"ほら <&NAME>が
しんぶんに のっているぞ

「ゆうかんなしょうねん
ロボロボだん たいじ!!」

こんなに リっぱになって
さすがは パパのこどもだ

しょうらいは セレクトたいの
だいかんぶだな!","Hey, <&NAME>, check it out! You're in the newspaper!

"Young heroic boy trumps the RoboRobo Gang!!".

You've grown so much, I'd expect no less from my son.

You'd make a great leader in the Select Force!"
426012,"パパも もうすこし わかかったら
セレクトたいに はいったんだけどなあ","If I was a bit younger, I would have joined the Select Force myself."
426014,"きょうは とうこうびだから
がっこうに いくのよ","Today is a school day so you need to get to class."
426016,"しゅくだいは はやめに
おわらせなさいよ","Be sure not to forget to do your homework."
426018,"ぼうそうしているのは
セレクトメダルをつけた

メダロットたちらしい

セレクトたいは いったい
どうなってしまったんだ!","It seems only the Medarots with Select Medals equipped are going out of control. What on earth is going on with the Select Force?"
426020,"さっき キララちゃんが きていたぞ

おまえを さがして うみのほうヘ
いったみたいだぞ","I saw Kirara come by a while ago. It looks like she went to go look
for you at the beach."
426022,"おちついて パパ
そんなにあわてたら

<&NAME>も
ふあんに なるでしょ","Calm down Beisuke, you're making <&NAME> nervous."
426024,"<&NAME>が ぶじで
ほんとうに よかったわ","I'm really glad you're safe, <&NAME>."
426026,"おかえリ・・・

そ それは？
そのメダルは どうしたんだ!？

とうとう おまえも
ロボトルの こころに めざめたか!

そうだ これをやろう
メダロット・スタートセットだ!","Welcome back.... Hm?

W-Where did you get that Medal?

I see! So you've finally decided to become a Medarotter!

In that case, you should have this... 
It's a Medarot Starter Set!"
426028,"はじめは パパが くみたててやろう

Zボタンをおして
ケイタイウィンドウをひらいてごらん

メダロットの いろいろな
じょうほうを みることが できるぞ

1たいだと くみかえができないから
おもしろさが わからないだろう

おこづかいを やるから
これでパーツを かってきなさい

パパから 5000円を もらった","Here, I'll show you how you put it together...

Now try pressing B to open your Info Pad menu.

You can find lots of useful information on your Medarot there.

Hmmm... But since you only have one set right now, you won't know how much fun it is to swap in different parts!

Here, I'll give you some extra allowance. 
Use this to buy some extra parts for your new Medarot!

Got 5000¥ from dad."
426030,"メダロットは じぶんで かんがえて
こうげきする あいてをえらぶぞ

メダロッターは どのパーツをつかうか
きめてやるだけで いいぞ

しかし! だれを ねらうとかは
そのメダルの せいかくや

どんなパーツを つけているかで
おおきく かわるぞ

いろんな くみあわせで さいきょうの
メダロッターを めざすんだ!","Medarots will think for themselves and choose which opponent to attack.
The Medarotter only needs to tell them which parts to use.

But! Keep in mind that their choices depend a lot on the Medal's personality and which parts they have equipped.

Try out lots of combinations, and strive to become the ultimate Medarotter!"
426032,"メダロットは じぶんで かんがえて
こうげきする あいてをえらぶぞ

メダロッターは どのパーツをつかうか
きめてやるだけで いいぞ

しかし! だれを ねらうとかは
そのメダルの せいかくや

どんなパーツを つけているかで
おおきく かわるぞ

いろんな くみあわせで さいきょうの
メダロッターを めざすんだ!","=0x6802e"
426034,"ワン! ワン!","Woof! Woof!"
426036,"ワン! ワン!","=0x68032"
426038,"メダロットを わすれるなよ","Don't forget your Medarot."
426040,"グーーー グーーー

いいぞ セレクトたい!
グーーー グーーー

むにゃ むにゃ
グーーー グーーー

ロボロボだんに チューイせよ","Zzzz zzzz snore snore
Well done, Select! Zzzz zzz..

Watch out for the RoboRobos.."
426042,"<&NAME>!

あしたから がっこう なんだから
はやく ねなさい

はーい","<&NAME>!
You have school tomorrow, you need to
get some rest.

Okay."
426044,"むにゃむにゃ
あしたから しんがっきか・・・

ひさしぶリに みんなに あえるな
むにゃむにゃ

なんか・・・
なんか わすれてるような・・・","*snore* *snore* Tomorrow's a new semester...

It's been a while since I've seen everyone...

I feel like I'm forgetting something..."
426046,"しゅっ

しゅくだい やってなかったーっ!!","I-I didn't do my homework!!"
426048,"ちゃんちゃん","*wah wah wahhh*"
426050,"あそびに きちゃいました","You came to play!"
426052,"また あそびに きます","Come play another time."
426054,"おじゃましてるわよ","You're in the way!"
426056,"ちょっと とまんないでよ
はずかしいじゃない","Don't stop so suddenly. What are you, embarassed?"
426058,"また くるね","Come again sometime."
426060,"あら <&NAME>ちゃん
おげんき？

メダロット はじめたの？
キララも よろこぶわ","Oh, hello <&NAME>.
How are you?

Have you gotten yourself a Medarot?
Kirara will be happy to hear that."
426062,"キララは おばあちゃんのところに
あそびにいったのよ

1しゅうかん くらいしないと
かえってこないのよ","Kirara went to play at her grandma's house. She won't be back for at least a week."
426064,"そとでは たいヘんなことに
なっているみたいね","It looks like something is going on outside."
426066,"キララと なかよくして あげてね","I'll bring you and Kirara close."
426068,"かってに ひとのうちに はいって
いいと おもってるの？","What, do you think you can just walk into people's houses without permission?"
426070,"こんどは まけないんだからね","I won't lose this time."
426072,"な な なんかよう？

かっ かってに ひとのうちに
はいんないでよね・・・

きたけリゃ きても いいけどさ","Wh-what do you want?

Don't just waltz into other people's houses. Try asking first..."
426074,"うが・・・","Guh..."
426076,"うが・・・","=0x6805a"
426078,"うが・・・","=0x6805a"
426080,"うが・・・","=0x6805a"
426082,"うが・・・","=0x6805a"
426084,"とっくん してんだから
はいってくんなよな","I'm training right now, don't come in here."
426086,"デテイケ デテイケ","GET OUT
GET OUT"
426088,"だから はいってくんなよ","Anyway, don't come in here."
426090,"デテイケ
ポンコツ デテイケ","GET OUT
YOU PIECE OF TRASH, GET OUT"
426092,"「せいこう」が たかければ
こうげきが あたリやすいんだ","The higher the "success" rating is on a part, the better the chance for the attack to hit its target."
426094,"せいかくの「ぼうぎょ」が たかいと
あいての じゃくてんを ねらうんだ","If your Medal's "Defense" stat is high, it'll aim for enemy weak spots more often."
426096,"メダロットが
かいだんを のぼっていったよ","A Medarot just climbed up the stairs."
426098,"メダルを なくしちゃった・・・
メダロットが うごかないよー","I lost my Medal...
Now my Medarot won't move..."
426100,"パーツは コンビニで うってるよ","They sell parts at the convenience store."
426102,"パーツは コンビニで うってるよ","=0x68074"
426104,"このがっこうには おばけが でるのよ","They say this school is haunted..."
426106,"せんせいの しきぼうが ヘんなんだよ","The teacher's conductor's stick looks a little... off."
426108,"しきぼうが おもいなぁ","This conductor's baton is heavy..."
426110,"なに？!

わしがいままで ふっていたものが
メダロットのパーツだとっ!？

はじを かかせおって!","What?!

This whole time I've been waving around a Medarot part!?

Oh, the humiliation!"
426112,"メダロットの がっしょうたいだ!
それいけっ!","The Medarot choir is starting! Let's go!"
426114,"これからも はリきって
しきを するぞ","Now I can conduct much more efficiently!"
