Pointer,Original,Translated
325632,"アーレー たすけてーーーーっ!!","Huuh?! Someone, help me!"
325634,"うわあああっ!!","Uwaaah!"
325636,"あれっ？ とまった

アリガトウ・・・

え？ あたまのなかに
このこえ まえにもきいた・・・","Huh? It stopped.
Thank you...
That voice..it sounds familiar."
325638,"う うそっ うそだっ!!
うちゅうじんなんぞ しんじるものか

オマエトイウ ヤツハ・・・!","No no way! You guys can't be..
aliens?"
325640,"うっ うわーーーっ!!
ごめんなさいぃ たーすけてーぇ","Uwaah!! I'm sorry!
Someone, help!"
325642,"ほんとに うちゅうじんなの？

メダル・・・ニンゲンニ
アタエタノ ワタシタチ

ソレカラ ズット ミテイタ
コノ キレイナ ホシノコト・・・

モウスコシ オソカッタラ
タスケラレナカッタ

ヨカッタ
・・・キミニ アエテ

まっ まってよ いかないでよ
まだ ききたいことが・・・

わああっ!!","Are you guys...really aliens?

We, Medals, that have been bestowed upon humanity
have protected this planet..

Had I waited a moment later, I wouldn't have been able to save you.

We're glad...
..to have met you.

W-wait! Don't go!

I still have things I need to ask y-
Waaah!"
325644,"おちこむな <&NAME>

メダルをなおすほうほうは
きっとあるはずだ

そうだ! ユウキくんなら
なにか しっているんじゃないか!？","Don't be sad, <&NAME>. I'm sure there's a way to fix your medal.
..That's right! Yuuki might know something!"
325646,"げんきだせよ","Lighten up!"
325648,"がいこくのひとは かえっちゃったよ","The foreigners went home..."
325650,"",""
325652,"",""
325654,"",""
325656,"",""
325658,"",""
325660,"",""
