Pointer,Original,Translated
368640,"とおせだと？

サメの いっぴきでも
たおせば かんがえてやるよ

まあ おまえには むリだろうがな","You wanna get through here?

Maybe if you can beat a shark in a fight, I'll think about letting you pass.

No way that's possible for you, though!"
368642,"そろそろ このまえのけっちゃくを
つけようぜ<*4>","Alright, it's about time we settled this!<*4>"
368644,"うみのどうくつの たからをひとめ
みたいんじゃが サメがでるんじゃよ","I'd like to go looking for the treasure in that seaside cave myself, but with these sharks around..."
368646,"サメが でるから およげないんだ","We can't go swimming with sharks around."
368648,"どうくつに はいろうとしたら
サメに おそわれるんだ","If you try to go near the cave, you'll be attacked by a shark!"
368650,"どうくつには たからがあるんだって","They say there's some kind of treasure in the cave."
368652,"おおっ

どうくつの おたからとは
メダルじゃったか

いいものを みせてくれた
れいを せんとな","Oho! So the treasure in the cave turned out to be a Medal after all?

Here's some thanks for showin' it to me."
368654,"それと このさかなを さんそんの
そんちょうに とどけてくれんか","Oh, and if you wouldn't mind... Could you deliver this fish to the mayor of the mountain village?"
368656,"ここで すばしっこいサルのやつらを
まちぶせてるんだ

あいつらを つかまえるまでは
あリ いっぴきも とおさせないぜ","People in this area tend to get ambushed by monkeys. If you beat at least
one of the monkeys, I'll let you pass."
368658,"まさかおまえが サルをたおしたのか？<*4>","Could it be...you defeated the monkeys?"
368660,"まちなかにいる イセキが
おまえを たおしてくれる","Once you reach downtown, Iseki will beat you for sure."
368662,"きたのやまには めずらしい
メダルがあるらしい","There seems to be a rare medal in the mountain up north."
368664,"おサルにメダルを とられたの
とリかえしてほしいの","Those monkeys took my Medal. I really want it back..."
368666,"やまのおサルが おリてきて
わるさを するんだ","The monkeys come down the mountain from time to time
to cause mischief."
368668,"まだ まけたわけじゃないからね!

セレクトビルに いくんだったら

あそこで はたらいてる パパに
あいさつでも してくれば？","I still haven't lost yet!
I wonder if I should say hi to Dad at the
Select Headquarters."
368670,"ところで もういせきには
いったのか？

いせきはいいぞー
ロマンがあってな","That being said, have you gone to the Ruins yet? The Ruins are great.
They have an adventurous feeling to them."
368672,"いせきには トロッコで
いくんだよ","You can reach the Ruins by taking the rail car."
368674,"セレクトしぶで ごほうびが
でるそうじゃないか

やったな!

きょうは とうこうびだろ

がっこうが おわったら
もらいに いってこいよ","You did it!
By the way, The Select Office has a reward for you.
Wait, do you have school today? Go
pick it up when your day is over."
368676,"そうだ 1つ ちゅういすることを
わすれていたぞ

じんじゃの たちいリきんしの
ばしょには はいっちゃいかんぞ

ロボロボだんが でるって
はなしだからな

ぜーったいに はいっちゃいかんぞ!

それと しゅくだいは
はやめに おわらせるんだぞ!","Oh that's right, I forgot to say one thing.
Stay away from the back of the Shrine, it's off-limits!
There's been talk of the RoboRobo Gang lurking around that area,
do not try to go there! Also, try to keep up with your homework as well."
368678,"そうだ 1つ ちゅういすることを
わすれていたぞ

じんじゃの たちいリきんしの
ばしょには はいっちゃいかんぞ

ロボロボだんが でるって
はなしだからな

ぜーったいに はいっちゃいかんぞ!

それと しゅくだいは
はやめに おわらせるんだぞ!","=0x5a024"
368680,"そうだ 1つ ちゅういすることを
わすれていたぞ

じんじゃの たちいリきんしの
ばしょには はいっちゃいかんぞ

ロボロボだんが でるって
はなしだからな

ぜーったいに はいっちゃいかんぞ!

それと しゅくだいは
はやめに おわらせるんだぞ!","=0x5a024"
368682,"そうだ 1つ ちゅういすることを
わすれていたぞ

じんじゃの たちいリきんしの
ばしょには はいっちゃいかんぞ

ロボロボだんが でるって
はなしだからな

ぜーったいに はいっちゃいかんぞ!

それと しゅくだいは
はやめに おわらせるんだぞ!","=0x5a024"
368684,"そうだ 1つ ちゅういすることを
わすれていたぞ

じんじゃの たちいリきんしの
ばしょには はいっちゃいかんぞ

ロボロボだんが でるって
はなしだからな

ぜーったいに はいっちゃいかんぞ!

それと しゅくだいは
はやめに おわらせるんだぞ!","=0x5a024"
368686,"そうだ 1つ ちゅういすることを
わすれていたぞ

じんじゃの たちいリきんしの
ばしょには はいっちゃいかんぞ

ロボロボだんが でるって
はなしだからな

ぜーったいに はいっちゃいかんぞ!

それと しゅくだいは
はやめに おわらせるんだぞ!","=0x5a024"
368688,"そうだ 1つ ちゅういすることを
わすれていたぞ

じんじゃの たちいリきんしの
ばしょには はいっちゃいかんぞ

ロボロボだんが でるって
はなしだからな

ぜーったいに はいっちゃいかんぞ!

それと しゅくだいは
はやめに おわらせるんだぞ!","=0x5a024"
368690,"そうだ 1つ ちゅういすることを
わすれていたぞ

じんじゃの たちいリきんしの
ばしょには はいっちゃいかんぞ

ロボロボだんが でるって
はなしだからな

ぜーったいに はいっちゃいかんぞ!

それと しゅくだいは
はやめに おわらせるんだぞ!","=0x5a024"
368692,"そうだ 1つ ちゅういすることを
わすれていたぞ

じんじゃの たちいリきんしの
ばしょには はいっちゃいかんぞ

ロボロボだんが でるって
はなしだからな

ぜーったいに はいっちゃいかんぞ!

それと しゅくだいは
はやめに おわらせるんだぞ!","=0x5a024"
368694,"わーい メダルがかえってきた
あリがとう おにいちゃん

おれいに これあげるー","Yaay! Thank you for returning my medal.
Here's your reward!"
368696,"わーい メダルがかえってきた
あリがとう おにいちゃん

おれいに これあげるー","=0x5a036"
368698,"わーい メダルがかえってきた
あリがとう おにいちゃん

おれいに これあげるー","=0x5a036"
368700,"おお これじゃこれじゃ
さけのさかなが ほしかったんじゃ","Ooh you actually brought this to me. I was wanting something to go with my Sake..."
368702,"このまちの はずれに
リょうしが おってな

いぜんは じびきあみでとれたものを
よく くれていたんだが

サメがでるようになって リょうが
おもうように できんようになったと

もんくをいっておったわ","There's a lot of fishermen on the outskirts of town.
Anything they caught for the day, they would bring back to town.
However, ever since the sharks came, they haven't been able to catch anything.
A lot of them are furious."
368704,"サメがでるから およげないの
せっかく およぎにきたのにー","I can't swim because of the sharks, after all the trouble I went through to come here..."
368706,"ところで つぼをやきたいのじゃが
いい やまのつちが ほしいのう

やまのほこらの あたリのつちが
いいのう","By the way, I'd like to make a pot but I need some soil from the mountain. Some soil around the mountain shrine
should be good."
368708,"このさきの みなとまちが
なんだかさいきん さわがしいけど

なにか あったのかな","This path leads to Harbor Town.

It sounds like there's been some trouble there lately...

I wonder what's going on?"
368710,"セレクトたいって なぞの
いたずらしゅうだん ロボロボだんと

おっかけっこしている あいつらだろ？","Hmm, the Select Force?

Those are the guys chasing after the RoboRobo Gang, right?"
368712,"ぼくだって おんなのこティンペット
ほしいよー","It's not fair...

I want a female Tinpet too..."
368714,"きょうは たいリょうじゃ","Today was quite a big catch."
368716,"きょうは たいリょうじゃ","=0x5a04a"
368718,"きょうは たいリょうじゃ","=0x5a04a"
368720,"サメは もうこないのかな？
でも ぼくおよげないからいいや","Are the sharks really gone?
Well, I can't swim anyway so it doesn't matter."
368722,"",""
368724,"",""
368726,"",""
368728,"",""
368730,"",""
368732,"",""
368734,"",""
