Pointer[#version],Original,Translated
0x5a000,とおせだと？<4C>サメの いっぴきでも<4E>たおせば かんがえてやるよ<4C>まあ おまえには むリだろうがな,"<@Yanma>You wanna get through here?<4C>Maybe if you could beat a shark in a fight, I'd think about letting you pass.<4C>No way that's possible for you, though!"
0x5a002,そろそろ このまえのけっちゃくを<4E>つけようぜ<*4>,"<@Yanma>Alright, it's about time we settled this!<*4>"
0x5a004,うみのどうくつの たからをひとめ<4E>みたいんじゃが サメがでるんじゃよ,<@Fisherman>I'd like to go looking for the treasure in that seaside cave myself...<4C><@FishermanSad>but with these sharks around...
0x5a006,サメが でるから およげないんだ,We can't go swimming with sharks around.
0x5a008,どうくつに はいろうとしたら<4E>サメに おそわれるんだ,"If you try to go near the cave, you'll be attacked by a shark!"
0x5a00a,どうくつには たからがあるんだって,They say there's some kind of treasure in the cave.
0x5a00c,おおっ<4C>どうくつの おたからとは<4E>メダルじゃったか<4C>いいものを みせてくれた<4E>れいを せんとな,<@Fisherman>Oho! So the treasure in the cave turned out to be a Medal after all?<4C>Here's some thanks for showin' it to me.
0x5a00e,それと このさかなを さんそんの<4E>そんちょうに とどけてくれんか,"<@Fisherman>Oh, and if you wouldn't mind...<4C>Could you deliver this fish to the mayor of the mountain village?"
0x5a010,ここで すばしっこいサルのやつらを<4E>まちぶせてるんだ<4C>あいつらを つかまえるまでは<4E>あリ いっぴきも とおさせないぜ,"<@Kubota>This area is filled with sly monkeys.<4C>If you beat at least one of the monkeys, I'll let you pass."
0x5a012,まさかおまえが サルをたおしたのか？<*4>,<@Kubota>What... you defeated the monkeys? <*4>
0x5a014,まちなかにいる イセキが<4E>おまえを たおしてくれる,"<@Kubota>Once you reach downtown, Iseki will teach you a lesson for sure!"
0x5a016,きたのやまには めずらしい<4E>メダルがあるらしい,<@Researcher>There seems to be a rare medal in the mountain up north.
0x5a018,おサルにメダルを とられたの<4E>とリかえしてほしいの,<@PreschoolerSad>A monkey took my Medal.<4C>I hope I can get it back...
0x5a01a,やまのおサルが おリてきて<4E>わるさを するんだ,<@Villager>The monkeys come down the mountain from time to time to cause mischief.
0x5a01c,まだ まけたわけじゃないからね!<4C>セレクトビルに いくんだったら<4C>あそこで はたらいてる パパに<4E>あいさつでも してくれば？,<@IsekiSad>I still haven't lost yet!<4C><@Iseki>You're going to stop by the Select Headquarters? <4C>You should say hi to your dad there.
0x5a01e,ところで もういせきには<4E>いったのか？<4C>いせきはいいぞー<4E>ロマンがあってな,<@Dad>Anyway have you gone to the Ruins yet? <4C>The Ruins are great.<4C>They have an adventurous feeling to them.
0x5a020,いせきには トロッコで<4E>いくんだよ,You can reach the Ruins by taking the rail car.
0x5a022,セレクトしぶで ごほうびが<4E>でるそうじゃないか<4C>やったな!<4C>きょうは とうこうびだろ<4C>がっこうが おわったら<4E>もらいに いってこいよ,"<@Dad>The Select Office has a reward for you?<49>That's great!<4C>Wait, don't you have school today?<4C>Go pick it up when after school."
0x5a024,そうだ 1つ ちゅういすることを<4E>わすれていたぞ<4C>じんじゃの たちいリきんしの<4E>ばしょには はいっちゃいかんぞ<4C>ロボロボだんが でるって<4E>はなしだからな<4C>ぜーったいに はいっちゃいかんぞ!<4C>それと しゅくだいは<4E>はやめに おわらせるんだぞ!,"<@Gym>Oh that's right, I forgot to say one thing.<4C>Stay away from the back of the Shrine, it's off-limits!<4C>There's been talk of the RoboRobo Gang lurking around that area.<4C>Do not try to go there! <4C>Also, try to keep up with your homework as well."
0x5a026,=0x5a024,=0x5a024
0x5a028,=0x5a024,=0x5a024
0x5a02a,=0x5a024,=0x5a024
0x5a02c,=0x5a024,=0x5a024
0x5a02e,=0x5a024,=0x5a024
0x5a030,=0x5a024,=0x5a024
0x5a032,=0x5a024,=0x5a024
0x5a034,=0x5a024,=0x5a024
0x5a036,わーい メダルがかえってきた<4E>あリがとう おにいちゃん<4C>おれいに これあげるー,<@Preschooler>Yaay! Thank you for returning my medal.<4C>Here's your reward!
0x5a038,=0x5a036,=0x5a036
0x5a03a,=0x5a036,=0x5a036
0x5a03c,おお これじゃこれじゃ<4E>さけのさかなが ほしかったんじゃ,<@Geezer>Oh! Is that a <f02>Fresh Fish<f00>? <4C>Thanks for bringing this to me.<49>I was wanting a good snack...
